"@Lesson","@Sequence","Chinese (traditional)","Chinese (simplified)","pinyin","English","part of speech"
"BLCU Reader Chapter 1","1","你","你","nǐ","You","Pr"
"BLCU Reader Chapter 1","2","好","好","hǎo","good; well; fine; O.K.","A"
"BLCU Reader Chapter 1","3","陸雨平","陆雨平","lù yǔpíng","(name of a Chinese reporter)","PN"
"BLCU Reader Chapter 1","4","力波","力波","lì bō","(name of a Canadian student)","PN"
"BLCU Reader Chapter 1","5","嗎","吗","ma","(interrogative particle for question expecting yes-no answer)","QPt"
"BLCU Reader Chapter 1","6","我","我","wǒ","I; me","Pr"
"BLCU Reader Chapter 1","7","很","很","hěn","very","Adv"
"BLCU Reader Chapter 1","8","呢","呢","ne","(a modal particle used for elliptical questions)","MdPt"
"BLCU Reader Chapter 1","9","也","也","yě","too; also","Adv"
"BLCU Reader Chapter 1","10","林娜","林娜","lín nà","(name of a British student)","PN"
"BLCU Reader Chapter 2","1","忙","忙","máng","busy","A"
"BLCU Reader Chapter 2","2","嗎","吗","ma","(a particle used for questions expecting a yes-no answer)","QPt"
"BLCU Reader Chapter 2","3","爸爸","爸爸","bàba","dad","N"
"BLCU Reader Chapter 2","4","媽媽","妈妈","māma","mom","N"
"BLCU Reader Chapter 2","5","他們","他们","tāmen","they; them","Pr"
"BLCU Reader Chapter 2","6","他","他","tā","he; him","Pr"
"BLCU Reader Chapter 2","7","捫","们","men","(used after pronouns 我, 你, 他 or certain nouns to denote plural)","Suf"
"BLCU Reader Chapter 2","8","都","都","dōu","both; all","Adv"
"BLCU Reader Chapter 2","9","不","不","bù","not; no","Adv"
"BLCU Reader Chapter 2","10","男","男","nán","male","A"
"BLCU Reader Chapter 2","11","朋友","朋友","péngyou","friend","N"
"BLCU Reader Chapter 2","12","呢","呢","ne","(a modal particle used for elliptical questions)","MdPt"
"BLCU Reader Chapter 2","13","哥哥","哥哥","gēge","elder brother","N"
"BLCU Reader Chapter 2","14","要","要","yào","to want","V"
"BLCU Reader Chapter 2","15","咖啡","咖啡","kāfēi","coffee","N"
